0|iata_code|1|icao_code|2|name_eng|3|city_eng|4|country_eng
OBT|OBT|||Oakland/Coliseum Stat|Oakland/Coliseum Stat|Oakland|Oakland|United States|United States
OBU|OBU|PAOB|PAOB|Kobuk/Wien|Kobuk/Wien|Kobuk|Kobuk|United States|United States
OBX|OBX|||Obo|Obo|Obo|Obo|Papua New Guinea|Papua New Guinea
OBY|OBY|BGSC|BGSC|Ittoqqortoormiit|Ittoqqortoormiit|Ittoqqortoormiit|Ittoqqortoormiit|Greenland|Greenland
OCA|OCA|||Ocean Reef|Ocean Reef|Ocean Reef|Ocean Reef|United States|United States
OCC|OCC|SECO|SECO|Coca|Coca|Coca|Coca|Ecuador|Ecuador
OCE|OCE|KOXB|KOXB|Municipal|Municipal|Ocean City|Ocean City|United States|United States
OCF|OCF|KOCF|KOCF|Taylor Field|Taylor Field|Ocala|Ocala|United States|United States
OCH|OCH|KOCH|KOCH|A L Mangham Jr. Regional|A L Mangham Jr. Regional|Nacogdoches, TX|Nacogdoches, TX|United States|United States
OCI|OCI|MKBS|MKBS|Oceanic|Oceanic|Oceanic|Oceanic|United States|United States
OCJ|OCJ|MKBS|MKBS|Boscobel|Boscobel|Ocho Rios|Ocho Rios|Jamaica|Jamaica
OCN|OCN|KOKB|KOKB|Municipal|Municipal|Oceanside|Oceanside|United States|United States
OCV|OCV|SKOC|SKOC|Aguasclaras|Aguasclaras|Ocana|Ocana|Colombia|Colombia
OCW|OCW|KOCW|KOCW|Warren Field|Warren Field|Washington|Washington|United States|United States
ODA|ODA|FEFW|FEFW|Ouadda|Ouadda|Ouadda|Ouadda|Central African Republic|Central African Republic
ODB|ODB|LEBA|LEBA|Cordoba|Cordoba|Cordoba|Cordoba|Spain|Spain
ODD|ODD|YOOD|YOOD|Oodnadatta|Oodnadatta|Oodnadatta|Oodnadatta|Australia|Australia
ODE|ODE|EKOD|EKOD|Beldringe|Beldringe|Odense|Odense|Denmark|Denmark
ODH|ODH|EGVO|EGVO|RAF Station|RAF Station|Odiham|Odiham|United Kingdom|United Kingdom
ODJ|ODJ|FEGO|FEGO|Ouanda Djalle|Ouanda Djalle|Ouanda Djalle|Ouanda Djalle|Central African Republic|Central African Republic
ODL|ODL|YCOD|YCOD|Cordillo Downs|Cordillo Downs|Cordillo Downs|Cordillo Downs|Australia|Australia
ODN|ODN|WBGI|WBGI|Long Seridan|Long Seridan|Long Seridan|Long Seridan|Malaysia|Malaysia
ODR|ODR|YORV|YORV|Ord River|Ord River|Ord River|Ord River|Australia|Australia
ODS|ODS|UKOO|UKOO|Odessa International|Odessa International|Odessa|Odessa|Ukraine|Ukraine
ODW|ODW|KOKH|KOKH|Oak Harbor|Oak Harbor|Oak Harbor|Oak Harbor|United States|United States
ODY|ODY|VLOS|VLOS|Oudomxai|Oudomxai|Oudomxay|Oudomxay|Laos|Laos
OEA|OEA|KOEA|KOEA|Oneal|Oneal|Vincennes|Vincennes|United States|United States
OEC|OEC|WPOC|WPOC|Ocussi|Ocussi|Ocussi|Ocussi|Indonesia|Indonesia
OEL|OEL|UUOR|UUOR|Orel|Orel|Orel|Orel|Russian Federation|Russian Federation
OEM|OEM|SMPA|SMPA|Vincent Fayks|Vincent Fayks|Paloemeu|Paloemeu|Suriname|Suriname
OEO|OEO|KOEO|KOEO|Municipal|Municipal|Osceola|Osceola|United States|United States
OER|OER|ESNO|ESNO|Ornskoldsvik|Ornskoldsvik|Ornskoldsvik|Ornskoldsvik|Sweden|Sweden
OES|OES|SAVN|SAVN|San Antonio Oeste|San Antonio Oeste|San Antonio Oeste|San Antonio Oeste|Argentina|Argentina
OFI|OFI|DIOF|DIOF|Ouango Fitini|Ouango Fitini|Ouango Fitini|Ouango Fitini|Cote D&#039;Ivoire|Cote D&#039;Ivoire
OFJ|OFJ|BIOF|BIOF|Olafsfjordur|Olafsfjordur|Olafsfjordur|Olafsfjordur|Iceland|Iceland
OFK|OFK|KOFK|KOFK|Stefan Field|Stefan Field|Norfolk|Norfolk|United States|United States
OFU|OFU|NSAS|NSAS|Ofu|Ofu|Ofu|Ofu|American Samoa|American Samoa
OGA|OGA|KOGA|KOGA|Searle Field|Searle Field|Ogallala|Ogallala|United States|United States
OGB|OGB|KOGB|KOGB|Municipal|Municipal|Orangeburg|Orangeburg|United States|United States
OGD|OGD|KOGD|KOGD|Municipal|Municipal|Ogden|Ogden|United States|United States
OGE|OGE|||Ogeranang|Ogeranang|Ogeranang|Ogeranang|Papua New Guinea|Papua New Guinea
OGG|OGG|PHOG|PHOG|Kapalua|Kapalua|Maui|Maui|United States|United States
OGL|OGL|SYGO|SYGO|Ogle|Ogle|Ogle|Ogle|Guyana|Guyana
OGN|OGN|ROYN|ROYN|Yonaguni Jima|Yonaguni Jima|Yonaguni Jima|Yonaguni Jima|Japan|Japan
OGO|OGO|DIAU|DIAU|Abengourou|Abengourou|Abengourou|Abengourou|Cote D&#039;Ivoire|Cote D&#039;Ivoire
OGR|OGR|FTTB|FTTB|Bongor|Bongor|Bongor|Bongor|Chad|Chad
OGS|OGS|KOGS|KOGS|Ogdensburg|Ogdensburg|Ogdensburg|Ogdensburg|United States|United States
OGV|OGV|LZOC|LZOC|Ongava Game Reserve|Ongava Game Reserve|Ongava Game Reserve|Ongava Game Reserve|Namibia|Namibia
OGX|OGX|DAUU|DAUU|Ain Beida|Ain Beida|Ouargla|Ouargla|Algeria|Algeria
OGZ|OGZ|URMO|URMO|Beslan|Beslan|Vladikavkaz|Vladikavkaz|Russian Federation|Russian Federation
OHA|OHA|NZOH|NZOH|Royal Air Force Base|Royal Air Force Base|Ohakea|Ohakea|New Zealand|New Zealand
OHC|OHC|EGXU|EGXU|AFS|AFS|Northeast Cape|Northeast Cape|United States|United States
OHD|OHD|LWOH|LWOH|Ohrid|Ohrid|Ohrid|Ohrid|Macedonia|Macedonia
OHI|OHI|FYOS|FYOS|Oshakati|Oshakati|Oshakati|Oshakati|Namibia|Namibia
OHO|OHO|UHOO|UHOO|Okhotsk|Okhotsk|Okhotsk|Okhotsk|Russian Federation|Russian Federation
OHP|OHP|||Heliport|Heliport|Oban|Oban|Gabon|Gabon
OHR|OHR|EDXY|EDXY|Wyk Auf Foehr|Wyk Auf Foehr|Wyk Auf Foehr|Wyk Auf Foehr|Germany|Germany
OHT|OHT|OPKT|OPKT|Kohat|Kohat|Kohat|Kohat|Pakistan|Pakistan
OIA|OIA|PHNL|PHNL|Ourilandia|Ourilandia|Ourilandia|Ourilandia|Portugal|Portugal
OIC|OIC|KOIC|KOIC|Eaton|Eaton|Norwich|Norwich|United States|United States
OIL|OIL|||Splane Memorial|Splane Memorial|Oil City, PA|Oil City, PA|United States|United States
OIM|OIM|RJTO|RJTO|Oshima|Oshima|Oshima|Oshima|Japan|Japan
OIR|OIR|RJEO|RJEO|Okushiri|Okushiri|Okushiri|Okushiri|Japan|Japan
OIT|OIT|RJFO|RJFO|Oita|Oita|Oita|Oita|Japan|Japan
OJC|OJC|KOJC|KOJC|Johnson Executive|Johnson Executive|Kansas City|Kansas City|United States|United States
OKA|OKA|ROAH|ROAH|Naha|Naha|Okinawa|Okinawa|Japan|Japan
OKB|OKB|||Fraser Island|Fraser Island|Orchid Beach|Orchid Beach|Australia|Australia
OKC|OKC|KOKC|KOKC|Will Rogers World Airport|Will Rogers World Airport|Oklahoma City|Oklahoma City|United States|United States
OKD|OKD|RJCO|RJCO|Okadama|Okadama|Sapporo|Sapporo|Japan|Japan
OKE|OKE|RJKB|RJKB|Okino Erabu|Okino Erabu|Okino Erabu|Okino Erabu|Japan|Japan
OKF|OKF|FYOO|FYOO|Okaukuejo|Okaukuejo|Okaukuejo|Okaukuejo|Namibia|Namibia
OKG|OKG|||Okoyo|Okoyo|Okoyo|Okoyo|Congo|Congo
OKH|OKH|EGXJ|EGXJ|Cottesmor RAF|Cottesmor RAF|Oakham|Oakham|United Kingdom|United Kingdom
OKI|OKI|RJNO|RJNO|Oki Island|Oki Island|Oki Island|Oki Island|Japan|Japan
OKJ|OKJ|RJOB|RJOB|Okayama|Okayama|Okayama|Okayama|Japan|Japan
OKK|OKK|KOKK|KOKK|Kokomo|Kokomo|Kokomo|Kokomo|United States|United States
OKL|OKL|WAJO|WAJO|Oksibil|Oksibil|Oksibil|Oksibil|Indonesia|Indonesia
OKM|OKM|KOKM|KOKM|Okmulgee|Okmulgee|Okmulgee|Okmulgee|United States|United States
OKN|OKN|FOGQ|FOGQ|Okondja|Okondja|Okondja|Okondja|Gabon|Gabon
OKO|OKO|RJTY|RJTY|Yokota Afb|Yokota Afb|Tokyo|Tokyo|Japan|Japan
OKP|OKP|||Oksapmin|Oksapmin|Oksapmin|Oksapmin|Papua New Guinea|Papua New Guinea
OKQ|OKQ|WAKO|WAKO|Okaba|Okaba|Okaba|Okaba|Indonesia|Indonesia
OKR|OKR|YYKI|YYKI|Yorke Island|Yorke Island|Yorke Island|Yorke Island|Australia|Australia
OKS|OKS|KOKS|KOKS|Oshkosh|Oshkosh|Oshkosh|Oshkosh|United States|United States
OKT|OKT|UWUK|UWUK|Oktiabrskij|Oktiabrskij|Oktiabrskij|Oktiabrskij|Russian Federation|Russian Federation
OKU|OKU|FYMO|FYMO|Mokuti Lodge|Mokuti Lodge|Mokuti Lodge|Mokuti Lodge|Namibia|Namibia
OKV|OKV|KOKV|KOKV|Okao|Okao|Okao|Okao|Indonesia|Indonesia
OKY|OKY|YBOK|YBOK|Oakey|Oakey|Oakey|Oakey|Australia|Australia
OLA|OLA|ENOL|ENOL|Orland|Orland|Orland|Orland|Norway|Norway
OLB|OLB|LIEO|LIEO|Costa Smeralda|Costa Smeralda|Olbia|Olbia|Italy|Italy
OLD|OLD|KOLD|KOLD|Old Town|Old Town|Old Town|Old Town|United States|United States
OLE|OLE|KOLE|KOLE|Municipal|Municipal|Olean|Olean|United States|United States
OLF|OLF|KOLF|KOLF|International|International|Wolf Point|Wolf Point|United States|United States
OLH|OLH|||Old Harbor SPB|Old Harbor SPB|Old Harbor|Old Harbor|United States|United States
OLI|OLI|POLI|POLI|Rif|Rif|Olafsvik|Olafsvik|Iceland|Iceland
OLJ|OLJ|NVSZ|NVSZ|Olpoi|Olpoi|Olpoi|Olpoi|Vanuatu|Vanuatu
OLK|OLK|ZMUL|ZMUL|Fuerte Olimpo|Fuerte Olimpo|Fuerte Olimpo|Fuerte Olimpo|Paraguay|Paraguay
OLM|OLM|KOLM|KOLM|Olympia|Olympia|Olympia|Olympia|United States|United States
OLN|OLN|SAVM|SAVM|Colonia Sarmiento|Colonia Sarmiento|Colonia Sarmiento|Colonia Sarmiento|Argentina|Argentina
OLO|OLO|LKOL|LKOL|Olomouc|Olomouc|Olomouc|Olomouc|Czech Republic|Czech Republic
OLP|OLP|YOLD|YOLD|Olympic Dam|Olympic Dam|Olympic Dam|Olympic Dam|Australia|Australia
OLQ|OLQ|||Olsobip|Olsobip|Olsobip|Olsobip|Papua New Guinea|Papua New Guinea
OLS|OLS|KOLS|KOLS|International|International|Nogales|Nogales|United States|United States
OLU|OLU|KOLU|KOLU|Columbus Municipal|Columbus Municipal|Columbus, NE|Columbus, NE|United States|United States
OLV|OLV|KOLV|KOLV|Olive Branch Arpt|Olive Branch Arpt|Olive Branch|Olive Branch|United States|United States
OLY|OLY|KOLY|KOLY|Olney-Noble|Olney-Noble|Olney|Olney|United States|United States
OMA|OMA|KOMA|KOMA|Eppley Airfield|Eppley Airfield|Omaha|Omaha|United States|United States
OMB|OMB|FOOH|FOOH|Omboue|Omboue|Omboue|Omboue|Gabon|Gabon
OMC|OMC|RPVO|RPVO|Ormoc|Ormoc|Ormoc|Ormoc|Philippines|Philippines
OMD|OMD|FYOG|FYOG|Oranjemund|Oranjemund|Oranjemund|Oranjemund|Namibia|Namibia
OME|OME|PAOM|PAOM|Nome|Nome|Nome|Nome|United States|United States
OMF|OMF|OJMF|OJMF|King Hussein|King Hussein|Mafraq|Mafraq|Jordan|Jordan
OMG|OMG|FYOE|FYOE|Omega|Omega|Omega|Omega|Namibia|Namibia
OMH|OMH|OITR|OITR|Urmieh|Urmieh|Urmieh|Urmieh|Iran|Iran
OMI|OMI|OIAJ|OIAJ|Omidieh|Omidieh|Omidieh|Omidieh|Iran|Iran
OMJ|OMJ|||Omura|Omura|Omura|Omura|Japan|Japan
OMK|OMK|KOMK|KOMK|Municipal|Municipal|Omak|Omak|United States|United States
OML|OML|||Omkalai|Omkalai|Omkalai|Omkalai|Papua New Guinea|Papua New Guinea
OMM|OMM|OONR|OONR|Marmul|Marmul|Marmul|Marmul|Oman|Oman
OMN|OMN|||Osmanabad|Osmanabad|Osmanabad|Osmanabad|India|India
OMO|OMO|LQMO|LQMO|Mostar|Mostar|Mostar|Mostar|Bosnia And Herzegovina|Bosnia And Herzegovina
OMR|OMR|LROD|LROD|Oradea|Oradea|Oradea|Oradea|Romania|Romania
OMS|OMS|UNOO|UNOO|Omsk|Omsk|Omsk|Omsk|Russian Federation|Russian Federation
OMY|OMY|||Oddor Meanche|Oddor Meanche|Oddor Meanche|Oddor Meanche|Cambodia|Cambodia
ONA|ONA|KONA|KONA|Municipal|Municipal|Winona|Winona|United States|United States
ONB|ONB|||Ononge|Ononge|Ononge|Ononge|Papua New Guinea|Papua New Guinea
OND|OND|FYOA|FYOA|Ondangwa|Ondangwa|Ondangwa|Ondangwa|Namibia|Namibia
ONE|ONE|||Onepusu|Onepusu|Onepusu|Onepusu|Solomon Islands|Solomon Islands
ONG|ONG|YMTI|YMTI|Mornington|Mornington|Mornington|Mornington|Australia|Australia
ONH|ONH|||Municipal|Municipal|Oneonta|Oneonta|United States|United States
ONI|ONI|WABD|WABD|Moanamani|Moanamani|Moanamani|Moanamani|Indonesia|Indonesia
ONJ|ONJ|RJSR|RJSR|Odate Noshiro|Odate Noshiro|Odate Noshiro|Odate Noshiro|Japan|Japan
ONL|ONL|KONL|KONL|Municipal|Municipal|Oneill|Oneill|United States|United States
ONM|ONM|KONM|KONM|Socorro|Socorro|Socorro|Socorro|United States|United States
ONN|ONN|EGXU|EGXU|Onion Bay|Onion Bay|Onion Bay|Onion Bay|United States|United States
ONO|ONO|KONO|KONO|Ontario Municipal Airport|Ontario Municipal Airport|Ontario|Ontario|United States|United States
ONP|ONP|KONP|KONP|Newport|Newport|Newport|Newport|United States|United States
ONQ|ONQ|LTAS|LTAS|Zonguldak|Zonguldak|Zonguldak|Zonguldak|Turkey|Turkey
ONR|ONR|YMNK|YMNK|Monkira|Monkira|Monkira|Monkira|Australia|Australia
ONS|ONS|YOLW|YOLW|Onslow|Onslow|Onslow|Onslow|Australia|Australia
ONT|ONT|KONT|KONT|Ontario International|Ontario International|Ontario|Ontario|United States|United States
ONU|ONU|NFOL|NFOL|Ono I Lau|Ono I Lau|Ono I Lau|Ono I Lau|Fiji|Fiji
ONX|ONX|MPEJ|MPEJ|Enrique Adolfo Jimenez|Enrique Adolfo Jimenez|Colon|Colon|Panama|Panama
ONY|ONY|KONY|KONY|Olney|Olney|Olney|Olney|United States|United States
OOA|OOA|KOOA|KOOA|Municipal|Municipal|Oskaloosa|Oskaloosa|United States|United States
OOK|OOK|PAOO|PAOO|Toksook Bay|Toksook Bay|Toksook Bay|Toksook Bay|United States|United States
OOL|OOL|YBCG|YBCG|Coolangatta/Gold Coast|Coolangatta/Gold Coast|Coolangatta/Gold Coast|Coolangatta/Gold Coast|Australia|Australia
OOM|OOM|YCOM|YCOM|Cooma|Cooma|Cooma|Cooma|Australia|Australia
OOR|OOR|YMOO|YMOO|Mooraberree|Mooraberree|Mooraberree|Mooraberree|Australia|Australia
OOT|OOT|NGON|NGON|Onotoa|Onotoa|Onotoa|Onotoa|Kiribati|Kiribati
OPA|OPA|BIKP|BIKP|Kopasker|Kopasker|Kopasker|Kopasker|Iceland|Iceland
OPB|OPB|||Open Bay|Open Bay|Open Bay|Open Bay|Papua New Guinea|Papua New Guinea
OPF|OPF|KOPF|KOPF|Opa Locka|Opa Locka|Miami|Miami|United States|United States
OPI|OPI|YOEN|YOEN|Oenpelli|Oenpelli|Oenpelli|Oenpelli|Australia|Australia
OPL|OPL|KOPL|KOPL|St Landry Parish|St Landry Parish|Opelousas|Opelousas|United States|United States
OPO|OPO|LPPR|LPPR|Francisco Sá Carneiro|Francisco Sá Carneiro|Porto|Porto|Portugal|Portugal
OPS|OPS|SWSI|SWSI|Sinop|Sinop|Sinop|Sinop|Brazil|Brazil
OPU|OPU|||Balimo|Balimo|Balimo|Balimo|Papua New Guinea|Papua New Guinea
OPW|OPW|FYOP|FYOP|Opuwa|Opuwa|Opuwa|Opuwa|Namibia|Namibia
ORA|ORA|SASO|SASO|Oran|Oran|Oran|Oran|Argentina|Argentina
ORB|ORB|ESOE|ESOE|Orebro-bofors|Orebro-bofors|Orebro|Orebro|Sweden|Sweden
ORC|ORC|SKOE|SKOE|Orocue|Orocue|Orocue|Orocue|Colombia|Colombia
ORD|ORD|KORD|KORD|Chicago O&#039;hare International|Chicago O&#039;hare International|Chicago, Il|Chicago, Il|United States|United States
ORE|ORE|LFOJ|LFOJ|Orleans|Orleans|Orleans|Orleans|France|France
ORF|ORF|KORF|KORF|Norfolk International Airport|Norfolk International Airport|Norfolk|Norfolk|United States|United States
ORG|ORG|SMZO|SMZO|Zorg En Hoop|Zorg En Hoop|Paramaribo|Paramaribo|Suriname|Suriname
ORH|ORH|KORH|KORH|Worcester Regional Airport|Worcester Regional Airport|Worcester|Worcester|United States|United States
ORI|ORI|KORI|KORI|Port Lions SPB|Port Lions SPB|Port Lions|Port Lions|United States|United States
ORJ|ORJ|SYOR|SYOR|Orinduik|Orinduik|Orinduik|Orinduik|Brazil|Brazil
ORK|ORK|EICK|EICK|Cork|Cork|Cork|Cork|Ireland|Ireland
ORL|ORL|KORL|KORL|Orlando Executive|Orlando Executive|Orlando|Orlando|United States|United States
ORM|ORM|EGBK|EGBK|Northampton|Northampton|Northampton|Northampton|United Kingdom|United Kingdom
ORN|ORN|DAOO|DAOO|Es Senia|Es Senia|Oran|Oran|Algeria|Algeria
ORO|ORO|MHYR|MHYR|Yoro|Yoro|Yoro|Yoro|Honduras|Honduras
ORP|ORP|FBOR|FBOR|Orapa|Orapa|Orapa|Orapa|Botswana|Botswana
ORQ|ORQ|LFPY|LFPY|Heliport|Heliport|Norwalk|Norwalk|United States|United States
ORR|ORR|YYOR|YYOR|Yorketown|Yorketown|Yorketown|Yorketown|Australia|Australia
ORS|ORS|||Waterport|Waterport|Orpheus Island Resort|Orpheus Island Resort|Australia|Australia
ORT|ORT|PAOR|PAOR|Northway|Northway|Northway|Northway|United States|United States
ORU|ORU|SLOR|SLOR|Oruro|Oruro|Oruro|Oruro|Bolivia|Bolivia
ORV|ORV|||Curtis Memorial|Curtis Memorial|Noorvik|Noorvik|United States|United States
ORW|ORW|OPOR|OPOR|Ormara|Ormara|Ormara|Ormara|Pakistan|Pakistan
ORX|ORX|SNOX|SNOX|Oriximina|Oriximina|Oriximina|Oriximina|Brazil|Brazil
ORY|ORY|LFPO|LFPO|Orly|Orly|Paris|Paris|France|France
ORZ|ORZ|||Orange Walk|Orange Walk|Orange Walk|Orange Walk|Belize|Belize
OSB|OSB|KOSB|KOSB|Osage Beach|Osage Beach|Osage Beach|Osage Beach|United States|United States
OSC|OSC|KOSC|KOSC|Wurtsmith AFB|Wurtsmith AFB|Oscoda|Oscoda|United States|United States
OSD|OSD|ESNZ|ESNZ|Froesoe|Froesoe|Ostersund|Ostersund|Sweden|Sweden
OSE|OSE|||Omora|Omora|Omora|Omora|Papua New Guinea|Papua New Guinea
OSG|OSG|||Ossima|Ossima|Ossima|Ossima|Papua New Guinea|Papua New Guinea
OSH|OSH|KOSH|KOSH|Wittman Field|Wittman Field|Oshkosh|Oshkosh|United States|United States
OSI|OSI|LDOS|LDOS|Osijek|Osijek|Osijek|Osijek|Croatia|Croatia
OSK|OSK|ESMO|ESMO|Oskarshamn|Oskarshamn|Oskarshamn|Oskarshamn|Sweden|Sweden
OSL|OSL|ENGM|ENGM|Oslo Airport, Gardermoen|Oslo Airport, Gardermoen|Oslo|Oslo|Norway|Norway
OSM|OSM|ORBM|ORBM|Mosul|Mosul|Mosul|Mosul|Iraq|Iraq
OSN|OSN|RKSO|RKSO|Osan AB|Osan AB|Osan|Osan|Korea (South)|Korea (South)
OSP|OSP|EPSK|EPSK|Redzikowo|Redzikowo|Slupsk|Slupsk|Poland|Poland
OSR|OSR|LKMT|LKMT|Mosnov|Mosnov|Ostrava|Ostrava|Czech Republic|Czech Republic
OSS|OSS|UAFO|UAFO|Osh International Airport|Osh International Airport|Osh|Osh|Kyrgyzstan|Kyrgyzstan
OST|OST|EBOS|EBOS|Ostend/Bruges International Airport|Ostend/Bruges International Airport|Ostend|Ostend|Belgium|Belgium
OSU|OSU|KOSU|KOSU|Ohio State University|Ohio State University|Columbus|Columbus|United States|United States
OSW|OSW|UWOR|UWOR|Orsk|Orsk|Orsk|Orsk|Russian Federation|Russian Federation
OSX|OSX|KOSX|KOSX|Attala County|Attala County|Kosciusko|Kosciusko|United States|United States
OSY|OSY|ENNM|ENNM|Namsos|Namsos|Namsos|Namsos|Norway|Norway
OSZ|OSZ|EPKO|EPKO|Koszalin|Koszalin|Koszalin|Koszalin|Poland|Poland
OTA|OTA|||Mota|Mota|Mota|Mota|Ethiopia|Ethiopia
OTC|OTC|FTTL|FTTL|Bol|Bol|Bol|Bol|Chad|Chad
OTD|OTD|||Contadora|Contadora|Contadora|Contadora|Panama|Panama
OTG|OTG|KOTG|KOTG|Worthington|Worthington|Worthington|Worthington|United States|United States
OTH|OTH|KOTH|KOTH|North Bend|North Bend|North Bend|North Bend|United States|United States
OTI|OTI|WAMR|WAMR|Morotai Island|Morotai Island|Pitu, Morotai Island|Pitu, Morotai Island|Indonesia|Indonesia
OTJ|OTJ|FYOJ|FYOJ|Otjiwarongo|Otjiwarongo|Otjiwarongo|Otjiwarongo|Namibia|Namibia
OTL|OTL|GQNB|GQNB|Boutilimit|Boutilimit|Boutilimit|Boutilimit|Mauritania|Mauritania
OTM|OTM|KOTM|KOTM|Industrial|Industrial|Ottumwa|Ottumwa|United States|United States
OTN|OTN|KOTN|KOTN|Green|Green|Oaktown|Oaktown|United States|United States
OTO|OTO|LPOT|LPOT|Vor|Vor|Otto|Otto|United States|United States
OTP|OTP|LROP|LROP|Henri Coanda International|Henri Coanda International|Bucharest|Bucharest|Romania|Romania
OTR|OTR|MRCC|MRCC|Coto 47|Coto 47|Coto 47|Coto 47|Costa Rica|Costa Rica
OTS|OTS|||Anacortes|Anacortes|Anacortes|Anacortes|United States|United States
OTU|OTU|SKOT|SKOT|Otu|Otu|Otu|Otu|Colombia|Colombia
OTV|OTV|||Ontong Java|Ontong Java|Ontong Java|Ontong Java|Solomon Islands|Solomon Islands
OTY|OTY|||Oria|Oria|Oria|Oria|Papua New Guinea|Papua New Guinea
OTZ|OTZ|PAOT|PAOT|Kotzebue|Kotzebue|Kotzebue|Kotzebue|United States|United States
OUA|OUA|DFFD|DFFD|Ouagadougou|Ouagadougou|Ouagadougou|Ouagadougou|Burkina Faso|Burkina Faso
OUD|OUD|GMFO|GMFO|Les Angades|Les Angades|Oujda|Oujda|Morocco|Morocco
OUE|OUE|FCOU|FCOU|Ouesso|Ouesso|Ouesso|Ouesso|Congo|Congo
OUG|OUG|DFCC|DFCC|Ouahigouya|Ouahigouya|Ouahigouya|Ouahigouya|Burkina Faso|Burkina Faso
OUH|OUH|FAOH|FAOH|Oudtshoorn|Oudtshoorn|Oudtshoorn|Oudtshoorn|South Africa|South Africa
OUI|OUI|VLHS|VLHS|Ban Houei|Ban Houei|Ban Houei|Ban Houei|Laos|Laos
OUK|OUK|||Outer Skerries|Outer Skerries|Outer Skerries|Outer Skerries|United Kingdom|United Kingdom
OUL|OUL|EFOU|EFOU|Oulu|Oulu|Oulu|Oulu|Finland|Finland
OUM|OUM|||Oum Hadjer|Oum Hadjer|Oum Hadjer|Oum Hadjer|Chad|Chad
OUN|OUN|KOUN|KOUN|Max Westheimer|Max Westheimer|Norman|Norman|United States|United States
OUR|OUR|FKKI|FKKI|Batouri|Batouri|Batouri|Batouri|Cameroon|Cameroon
OUS|OUS|SDOU|SDOU|Ourinhos|Ourinhos|Ourinhos|Ourinhos|Brazil|Brazil
OUT|OUT|FTTS|FTTS|Bousso|Bousso|Bousso|Bousso|Chad|Chad
OUU|OUU|||Ouanga|Ouanga|Ouanga|Ouanga|Gabon|Gabon
OUZ|OUZ|GQPZ|GQPZ|Zouerate|Zouerate|Zouerate|Zouerate|Mauritania|Mauritania
OVA|OVA|FMSL|FMSL|Bekily|Bekily|Bekily|Bekily|Madagascar|Madagascar
OVB|OVB|UNNT|UNNT|Tolmachevo|Tolmachevo|Novosibirsk|Novosibirsk|Russian Federation|Russian Federation
OVD|OVD|LEAS|LEAS|Asturias|Asturias|Oviedo/Aviles|Oviedo/Aviles|Spain|Spain
OVE|OVE|KOVE|KOVE|Oroville|Oroville|Oroville|Oroville|United States|United States
OVG|OVG|SBOI|SBOI|Overberg (FAOB)|Overberg (FAOB)|Overberg|Overberg|Belgium|Belgium
OVL|OVL|SCOV|SCOV|Ovalle|Ovalle|Ovalle|Ovalle|Chile|Chile
OVR|OVR|LPOV|LPOV|Olavarria|Olavarria|Olavarria|Olavarria|Argentina|Argentina
OWA|OWA|KOWA|KOWA|Owatonna|Owatonna|Owatonna|Owatonna|United States|United States
OWB|OWB|KOWB|KOWB|Daviess County|Daviess County|Owensboro|Owensboro|United States|United States
OWD|OWD|KOWD|KOWD|Memorial|Memorial|Norwood|Norwood|United States|United States
OWE|OWE|||Owendo|Owendo|Owendo|Owendo|Gabon|Gabon
OWK|OWK|KOWK|KOWK|Central Maine Airport of Norridgewock|Central Maine Airport of Norridgewock|Norridgewock|Norridgewock|United States|United States
OXB|OXB|GGOV|GGOV|Osvaldo Vieira International|Osvaldo Vieira International|Bissau|Bissau|Guinea-Bissau|Guinea-Bissau
OXC|OXC|KOXC|KOXC|Waterbury-oxford|Waterbury-oxford|Oxford, CT|Oxford, CT|United States|United States
OXD|OXD|KOXD|KOXD|Miami University|Miami University|Oxford|Oxford|Canada|Canada
OXF|OXF|EGTK|EGTK|Oxford (Kidlington)|Oxford (Kidlington)|Oxford|Oxford|United Kingdom|United Kingdom
OXO|OXO|||Orientos|Orientos|Orientos|Orientos|Australia|Australia
OXR|OXR|KOXR|KOXR|Ventura|Ventura|Ventura|Ventura|United States|United States
OXY|OXY|YMNY|YMNY|Morney|Morney|Morney|Morney|Australia|Australia
OYA|OYA|SATG|SATG|Goya|Goya|Goya|Goya|Argentina|Argentina
OYE|OYE|FOGO|FOGO|Oyem|Oyem|Oyem|Oyem|Gabon|Gabon
OYG|OYG|||Moyo|Moyo|Moyo|Moyo|Uganda|Uganda
OYK|OYK|SBOI|SBOI|Oiapoque|Oiapoque|Oiapoque|Oiapoque|Brazil|Brazil
OYL|OYL|HKMY|HKMY|Moyale|Moyale|Moyale|Moyale|Ethiopia|Ethiopia
OYN|OYN|YOUY|YOUY|Ouyen|Ouyen|Ouyen|Ouyen|Australia|Australia
OYO|OYO|SAZH|SAZH|Tres Arroyos|Tres Arroyos|Tres Arroyos|Tres Arroyos|Argentina|Argentina
OYP|OYP|SOOG|SOOG|St-Georges de lOyapock|St-Georges de lOyapock|St Georges de lOyapock|St Georges de lOyapock|French Guiana|French Guiana
OYS|OYS|||Yosemite Ntl Park|Yosemite Ntl Park|Yosemite Ntl Park|Yosemite Ntl Park|United States|United States
OZA|OZA|KOZA|KOZA|Ozona Municipal|Ozona Municipal|Ozona|Ozona|United States|United States
OZC|OZC|RPMO|RPMO|Labo|Labo|Ozamis City|Ozamis City|Philippines|Philippines
